Respondent_ID,Q1_Age_Group,Q2_Gender,Q3_City_Tier,Q4_Education,Q5_Occupation,Q6_Monthly_Income,Q7_Sustainability_Awareness_1to5,Q8_Action_PublicTransport,Q8_Action_EcoProducts,Q8_Action_PlasticReduce,Q8_Action_EnergyConserve,Q8_Action_WasteSegregation,Q8_Action_DietChange,Q8_Action_SolarEnergy,Q8_Action_None,Q9_EcoChoice_Frequency,Q10_Primary_Commute,Q11_EnvImpact_OnPurchase_1to5,Q12_App_Comfort,Q13_App_UPI,Q13_App_Fitness,Q13_App_Loyalty,Q13_App_FoodDelivery,Q13_App_Ecommerce,Q13_App_Fintech,Q13_App_None,Q14_DataTracking_Consent,Q15_Likelihood_Download_1to5,Q16_Reward_Cashback,Q16_Reward_EcoDiscounts,Q16_Reward_Vouchers,Q16_Reward_TreePlanting,Q16_Reward_Leaderboard,Q16_Reward_Insurance,Q16_Reward_NGO,Q17_WTP_Premium_Subscription,Q18_Monthly_EcoSpend_Category,Q19_Price_Premium_Willingness,Q20_Brand_Trust_1to5,Q21_Barrier_TooExpensive,Q21_Barrier_DontKnowImpact,Q21_Barrier_Inconvenient,Q21_Barrier_NoImpact,Q21_Barrier_TimeConstraint,Q21_Barrier_None,Q22_BrandPref_OrganicFood,Q22_BrandPref_SustFashion,Q22_BrandPref_EV,Q22_BrandPref_CleanBeauty,Q22_BrandPref_HomeKitchen,Q22_BrandPref_GreenTravel,Q22_BrandPref_Solar,Q22_BrandPref_FinancialProducts,Q23_Social_Influence_1to5,Q24_Group_Challenge_Interest,Q25_NPS_0to10,Q26_Environmental_Identity,Q27_Loss_Aversion_Type,Q28_Rewards_Engagement_Depth,Q29_Household_Decision_Role,Q30_Channel_Instagram,Q30_Channel_WhatsApp,Q30_Channel_LinkedIn,Q30_Channel_NewsDigital,Q30_Channel_FriendsFamily,Q30_Channel_OTTAds,Q30_Channel_Influencer,Q30_Channel_Google,TARGET_Will_Adopt_App_0or1,TARGET_Monthly_EcoSpend_INR,TARGET_WTP_Monthly_INR,Noise_Flag,Internal_Tech_Score,Internal_Green_Score,Internal_Spend_Power,Internal_Social_Score
GL2024012,55+,Male,Tier-3,Undergraduate,Retired,30k-60k,2,1,0,0,0,0,0,0,0,Frequently,Two-wheeler,2,Not comfortable,0,0,0,0,0,0,1,Fully willing,1,0,0,0,0,0,0,0,50-99/mo,Under 500,No premium,2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,No-prefer solo,0,Care but not central,Loss motivated (lose coins),Check occasionally,Decide for household,0,1,0,0,0,0,0,1,0,275.0,74.0,0,0.0645,0.0849,0.3208,0.0
GL2024013,55+,Male,Tier-2,Undergraduate,Business owner,15k-30k,1,1,0,0,0,1,1,1,0,Always,Personal car/SUV,1,Not comfortable,1,0,0,0,0,0,0,Not willing,3,0,0,0,0,0,0,1,50-99/mo,Zero,Up to 10% more,3,0,0,0,0,1,0,1,1,0,0,0,1,0,0,3,Maybe depends,4,Aware not priority,Loss motivated (lose coins),Strategically maximise,Decide for household,0,1,0,0,0,0,0,0,0,0.0,86.0,0,0.2397,0.2149,0.236,0.3048
GL2024014,25-34,Female,Metro,High school or below,Student,15k-30k,2,1,0,0,1,0,0,0,0,Frequently,Metro/Train,2,Somewhat comfortable,0,1,1,1,1,0,0,Fully willing,3,0,0,0,0,0,0,1,Up to 49/mo,1500-3000,Up to 5% more,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,2,Not interested,6,Not relevant,Loss motivated (lose coins),Actively track,Joint with spouse,1,0,0,0,0,0,0,1,0,2231.0,24.0,0,0.4689,0.2986,0.1472,0.4568
GL2024015,18-24,Female,Metro,Postgraduate,Homemaker,15k-30k,3,0,0,0,1,1,1,0,0,Rarely,Work from home,3,Not comfortable,1,1,0,0,1,0,0,Not willing,3,0,1,0,0,0,0,1,Up to 49/mo,500-1500,No premium,3,0,1,0,1,0,0,0,0,0,1,0,0,1,0,4,Maybe depends,6,Core identity,Gain motivated (earn coins),Strategically maximise,Someone else decides,0,0,0,0,0,1,0,0,0,986.0,20.0,0,0.5684,0.4628,0.5095,0.532
GL2024016,45-54,Male,Rural,Undergraduate,Salaried-Private,Below 15k,1,0,0,0,0,0,0,0,1,Never,Two-wheeler,2,Somewhat comfortable,1,1,0,1,0,0,0,Not willing,2,1,0,1,1,0,0,0,Up to 49/mo,Above 6000,No premium,3,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,Maybe depends,1,Care but not central,Both equal,Strategically maximise,Decide independently,0,0,1,0,0,0,0,0,0,7817.0,25.0,0,0.1314,0.0917,0.2505,0.0
GL2024017,35-44,Male,Rural,Postgraduate,Self-employed,30k-60k,3,0,1,1,1,0,0,0,0,Occasionally,Bus/Auto,3,Somewhat comfortable,1,0,0,0,1,1,0,Not willing,2,0,0,1,0,0,0,0,100-199/mo,Zero,Price irrelevant,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,Maybe depends,2,Care but not central,Both equal,Rarely check,Joint with spouse,0,0,0,1,0,0,1,0,1,0.0,113.0,0,0.2732,0.4838,0.3461,0.3227
GL2024018,25-34,Male,Rural,High school or below,Salaried-Govt,15k-30k,1,0,0,1,0,0,0,0,0,Rarely,Two-wheeler,1,Somewhat comfortable,1,0,0,0,0,0,0,Willing if anonymized,1,0,1,1,1,0,0,0,Free only,Zero,Up to 10% more,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,Yes-love it,2,Aware not priority,Gain motivated (earn coins),Rarely check,Someone else decides,1,0,0,0,1,0,0,0,0,0.0,0.0,0,0.1458,0.1289,0.2181,0.145
GL2024019,35-44,Female,Tier-2,High school or below,Self-employed,15k-30k,3,0,0,0,0,0,0,0,1,Rarely,Bus/Auto,3,Somewhat comfortable,1,0,0,1,0,0,0,Willing if improves rewards,2,0,1,0,0,0,0,0,100-199/mo,3000-6000,Up to 20% more,3,0,1,0,1,0,0,0,0,0,0,0,0,0,1,2,Maybe depends,3,Core identity,Loss motivated (lose coins),Rarely check,Decide independently,0,0,0,0,0,0,1,0,0,3928.0,151.0,0,0.2566,0.3148,0.1998,0.2923
GL2024020,45-54,Male,Rural,High school or below,Salaried-Private,30k-60k,2,0,1,0,0,0,0,0,0,Rarely,Cycling/Walking,1,Very comfortable,0,0,0,1,1,1,0,Willing if anonymized,2,0,1,0,0,0,0,0,50-99/mo,Zero,No premium,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,Maybe depends,4,Care but not central,Gain motivated (earn coins),Actively track,Decide for household,0,0,1,0,1,0,0,0,0,0.0,60.0,0,0.3132,0.0,0.2598,0.3
GL2024021,18-24,Female,Tier-3,Undergraduate,Student,15k-30k,2,0,1,0,0,0,0,1,0,Rarely,Cycling/Walking,2,Very comfortable,1,0,1,1,1,1,0,Willing if anonymized,2,1,0,0,0,0,0,1,100-199/mo,500-1500,Up to 10% more,2,1,0,0,0,0,0,0,0,1,1,0,0,1,1,3,Maybe depends,4,Care but not central,Gain motivated (earn coins),Actively track,Decide independently,0,0,0,0,0,0,1,0,0,987.0,148.0,0,0.5833,0.3317,0.2399,0.4384
GL2024022,55+,Male,Rural,High school or below,Salaried-Private,15k-30k,1,0,0,0,0,0,1,0,0,Rarely,Two-wheeler,1,Somewhat comfortable,0,0,0,1,1,0,0,Willing if improves rewards,1,0,0,0,0,0,0,0,Up to 49/mo,3000-6000,No premium,2,1,0,0,0,0,0,0,0,0,0,1,1,1,0,2,Maybe depends,0,Care but not central,Gain motivated (earn coins),Rarely check,Joint with spouse,1,0,0,0,0,0,0,1,1,4751.0,26.0,0,0.1034,0.0,0.0594,0.0528
GL2024023,18-24,Female,Rural,High school or below,Student,15k-30k,2,1,0,0,0,1,1,0,0,Rarely,Bus/Auto,2,Very comfortable,0,0,0,1,1,0,0,Fully willing,2,1,0,0,0,0,0,0,Free only,Under 500,Up to 5% more,2,1,0,0,0,0,1,0,1,0,0,0,0,1,1,3,Yes-love it,2,Care but not central,Loss motivated (lose coins),Check occasionally,Decide independently,1,0,0,0,1,0,0,0,0,259.0,0.0,0,0.4376,0.2685,0.2701,0.3619
GL2024024,35-44,Male,Metro,Undergraduate,Business owner,30k-60k,2,1,0,0,0,0,1,0,0,Never,Metro/Train,2,Very comfortable,1,1,0,0,0,0,0,Willing if anonymized,3,0,0,0,0,0,0,0,50-99/mo,500-1500,Up to 20% more,3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,No-prefer solo,3,Core identity,Gain motivated (earn coins),Rarely check,Decide independently,0,1,0,0,0,0,0,1,0,998.0,68.0,0,0.5134,0.325,0.404,0.1318
GL2024025,35-44,Male,Tier-3,Undergraduate,Retired,15k-30k,2,0,1,0,0,0,0,0,0,Occasionally,Two-wheeler,3,Not comfortable,0,0,0,0,0,0,1,Willing if improves rewards,2,0,0,0,0,1,0,0,Up to 49/mo,Under 500,Up to 5% more,4,1,0,0,0,1,0,0,0,1,1,1,1,0,0,1,Maybe depends,2,Core identity,Gain motivated (earn coins),Rarely check,Decide independently,0,0,0,0,0,0,0,0,1,282.0,33.0,0,0.2899,0.3523,0.1603,0.1197
GL2024026,18-24,Female,Tier-3,High school or below,Business owner,15k-30k,2,1,1,0,0,1,1,0,0,Occasionally,Personal car/SUV,3,Very comfortable,1,0,1,0,0,0,0,Willing if improves rewards,2,0,0,1,0,1,0,0,Up to 49/mo,1500-3000,Up to 5% more,3,0,1,0,0,0,0,1,0,0,0,0,1,1,0,3,Not interested,3,Care but not central,Loss motivated (lose coins),Actively track,Joint with parents,1,1,0,0,0,0,0,0,1,1884.0,24.0,0,0.3848,0.3797,0.2073,0.6356
GL2024027,25-34,Male,Tier-3,High school or below,Business owner,1L-2L,1,1,0,0,1,0,0,0,0,Rarely,Cycling/Walking,1,Very comfortable,0,1,0,1,0,0,0,Not willing,2,0,0,0,1,0,0,1,100-199/mo,Zero,Up to 5% more,3,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,Yes-love it,1,Aware not priority,Loss motivated (lose coins),Strategically maximise,Joint with spouse,1,0,0,0,0,0,0,0,1,0.0,157.0,2,0.4741,0.0445,0.3092,0.0881
GL2024028,35-44,Non-binary/Other,Metro,High school or below,Salaried-Private,1L-2L,2,0,1,0,0,0,1,1,0,Rarely,Electric vehicle,2,Not comfortable,1,1,0,0,1,1,0,Willing if anonymized,2,0,0,0,0,0,0,0,50-99/mo,500-1500,Up to 10% more,2,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1,Not interested,2,Aware not priority,Loss motivated (lose coins),Strategically maximise,Decide independently,0,1,0,0,0,1,0,0,0,938.0,75.0,0,0.4232,0.1629,0.5979,0.1484
GL2024029,35-44,Male,Rural,High school or below,Salaried-Private,Below 15k,2,0,1,1,0,0,0,0,0,Rarely,Work from home,2,Not comfortable,1,0,1,1,0,0,0,Willing if anonymized,1,1,0,0,0,0,0,0,100-199/mo,Zero,Up to 20% more,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,Not interested,1,Care but not central,Loss motivated (lose coins),Actively track,Joint with spouse,0,1,0,1,0,0,0,0,1,0.0,162.0,0,0.2637,0.1053,0.1139,0.1885
GL2024030,45-54,Female,Metro,Postgraduate,Self-employed,1L-2L,3,0,0,0,1,1,1,1,0,Occasionally,Bus/Auto,3,Somewhat comfortable,0,0,0,0,0,0,1,Not willing,3,0,1,0,0,1,0,0,Up to 49/mo,Zero,Up to 10% more,3,0,0,0,0,0,0,0,1,0,1,0,1,0,0,2,Maybe depends,4,Core identity,Both equal,Strategically maximise,Decide for household,0,0,1,0,0,0,1,0,0,0.0,29.0,0,0.2619,0.3195,0.4693,0.4506
GL2024031,18-24,Non-binary/Other,Tier-3,High school or below,Student,15k-30k,2,1,0,1,1,0,0,0,0,Occasionally,Personal car/SUV,2,Somewhat comfortable,1,1,0,0,0,0,0,Willing if improves rewards,2,0,0,0,0,0,0,0,Free only,1500-3000,Up to 10% more,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,2,Not interested,3,Core identity,Loss motivated (lose coins),Check occasionally,Joint with spouse,1,0,0,0,1,0,0,0,0,2255.0,0.0,0,0.434,0.3178,0.072,0.16
GL2024032,25-34,Male,Tier-3,Undergraduate,Salaried-Govt,60k-1L,3,0,0,0,0,1,1,0,0,Rarely,Two-wheeler,1,Somewhat comfortable,1,1,0,1,0,0,0,Fully willing,3,0,0,0,0,0,0,0,Free only,Above 6000,No premium,3,0,1,1,0,0,0,0,0,0,0,0,1,0,0,3,Yes-love it,2,Care but not central,Loss motivated (lose coins),Actively track,Joint with spouse,0,1,0,0,0,0,0,1,0,7903.0,0.0,0,0.4757,0.1952,0.3487,0.2955
GL2024033,25-34,Male,Tier-2,High school or below,Salaried-Govt,60k-1L,2,0,0,0,0,0,0,0,1,Rarely,Two-wheeler,2,Not comfortable,1,1,0,0,1,1,0,Fully willing,2,1,0,1,1,0,0,0,200-399/mo,500-1500,Up to 10% more,3,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,Yes-love it,3,Care but not central,Neither,Actively track,Joint with spouse,1,1,0,0,0,0,0,0,1,1269.0,282.0,0,0.2485,0.2966,0.5041,0.1771
GL2024034,55+,Male,Metro,Postgraduate,Homemaker,Below 15k,2,0,0,0,0,0,1,0,0,Always,Personal car/SUV,3,Very comfortable,0,1,0,1,0,1,0,Not willing,2,0,0,1,0,0,0,0,50-99/mo,3000-6000,No premium,3,0,1,0,1,0,0,1,0,0,0,0,0,1,0,2,Maybe depends,2,Care but not central,Gain motivated (earn coins),Check occasionally,Decide for household,0,0,0,0,0,0,0,0,0,4781.0,97.0,0,0.2563,0.2786,0.0885,0.2339
GL2024035,18-24,Female,Tier-3,Postgraduate,Salaried-Private,15k-30k,4,0,0,0,0,1,0,0,0,Always,Cycling/Walking,2,Somewhat comfortable,1,0,0,0,1,0,0,Fully willing,3,0,0,1,0,0,0,0,Free only,Zero,Up to 5% more,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3,Yes-love it,4,Not relevant,Loss motivated (lose coins),Check occasionally,Joint with parents,1,0,0,0,0,0,1,0,0,0.0,0.0,1,0.5346,0.3549,0.2803,0.4025
GL2024036,35-44,Male,Rural,Postgraduate,Salaried-Govt,30k-60k,3,0,0,0,1,0,0,1,0,Frequently,Two-wheeler,3,Somewhat comfortable,0,0,1,0,0,1,0,Fully willing,2,0,0,0,1,1,1,0,Free only,500-1500,Price irrelevant,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,No-prefer solo,1,Care but not central,Loss motivated (lose coins),Check occasionally,Joint with spouse,1,1,0,0,0,0,0,0,0,921.0,0.0,0,0.2417,0.3473,0.2658,0.0
GL2024037,25-34,Male,Rural,High school or below,Salaried-Private,30k-60k,1,1,0,0,0,0,0,1,0,Rarely,Cycling/Walking,2,Not comfortable,1,1,0,0,1,1,0,Willing if anonymized,3,1,0,0,0,0,0,0,Free only,Under 500,Price irrelevant,3,0,1,0,0,1,0,0,0,1,0,0,0,0,0,2,Maybe depends,3,Core identity,Loss motivated (lose coins),Actively track,Joint with spouse,0,0,0,0,1,1,0,0,1,237.0,0.0,1,0.3228,0.3188,0.2432,0.306
GL2024038,55+,Female,Tier-3,Undergraduate,Business owner,1L-2L,2,1,0,1,0,0,0,0,0,Frequently,Cycling/Walking,3,Somewhat comfortable,0,1,0,0,0,1,0,Willing if improves rewards,1,1,0,1,0,0,0,0,100-199/mo,Under 500,Up to 10% more,3,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,No-prefer solo,1,Care but not central,Gain motivated (earn coins),Check occasionally,Joint with parents,0,0,0,1,0,0,1,0,1,260.0,149.0,0,0.042,0.2742,0.4575,0.1465
GL2024039,18-24,Male,Tier-3,Undergraduate,Student,15k-30k,1,0,0,0,1,1,0,0,0,Never,Bus/Auto,1,Somewhat comfortable,1,0,1,0,1,0,0,Willing if improves rewards,1,1,0,0,0,1,0,0,50-99/mo,1500-3000,No premium,3,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,No-prefer solo,2,Not relevant,Loss motivated (lose coins),Check occasionally,Joint with parents,0,1,0,0,0,0,0,1,1,2347.0,81.0,1,0.3636,0.2167,0.2342,0.105
GL2024040,18-24,Male,Tier-3,Undergraduate,Salaried-Private,Below 15k,2,0,0,0,1,0,0,0,0,Occasionally,Two-wheeler,2,Somewhat comfortable,0,0,0,0,0,0,1,Willing if improves rewards,2,0,0,1,0,0,0,1,Up to 49/mo,Under 500,No premium,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,2,Yes-love it,3,Care but not central,Gain motivated (earn coins),Check occasionally,Joint with parents,0,1,0,0,1,0,0,0,1,271.0,25.0,0,0.5066,0.3155,0.1902,0.3243
GL2024041,25-34,Male,Rural,Undergraduate,Business owner,30k-60k,2,0,1,1,1,1,0,0,0,Occasionally,Two-wheeler,3,Not comfortable,1,1,0,1,1,1,0,Not willing,3,1,1,0,1,0,0,0,Up to 49/mo,Under 500,Up to 5% more,3,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,Maybe depends,3,Not relevant,Gain motivated (earn coins),Check occasionally,Decide for household,1,0,1,0,0,0,0,0,1,258.0,32.0,0,0.2813,0.3941,0.1632,0.2109
GL2024042,25-34,Female,Tier-2,High school or below,Business owner,1L-2L,2,1,0,1,0,0,1,0,0,Never,Two-wheeler,2,Very comfortable,1,0,0,1,1,0,0,Willing if anonymized,2,0,0,0,0,1,1,0,Up to 49/mo,Zero,Up to 20% more,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,2,No-prefer solo,4,Not relevant,Both equal,Actively track,Joint with spouse,0,0,0,0,0,0,1,1,1,0.0,22.0,0,0.3193,0.3578,0.5405,0.3293
GL2024043,18-24,Female,Tier-2,Postgraduate,Salaried-Private,60k-1L,2,1,1,0,1,0,0,0,0,Frequently,Bus/Auto,3,Very comfortable,1,1,0,1,1,1,0,Willing if anonymized,3,1,0,0,0,0,0,0,400+/mo,1500-3000,Up to 20% more,2,1,0,1,0,0,0,0,0,0,0,1,1,0,1,3,No-prefer solo,4,Care but not central,Gain motivated (earn coins),Actively track,Decide independently,1,0,0,0,1,0,0,0,0,2317.0,578.0,0,0.6658,0.346,0.4297,0.4197
GL2024044,35-44,Male,Tier-2,Undergraduate,Homemaker,1L-2L,1,0,0,0,0,0,0,0,1,Occasionally,Bus/Auto,1,Somewhat comfortable,1,1,0,0,1,0,0,Willing if anonymized,3,1,1,0,0,0,0,0,200-399/mo,500-1500,Up to 10% more,2,0,1,0,1,0,0,0,0,1,1,0,1,0,0,2,Yes-love it,4,Not relevant,Both equal,Rarely check,Joint with spouse,1,0,0,1,0,0,0,0,0,978.0,278.0,0,0.4002,0.0817,0.5105,0.2635
GL2024045,55+,Male,Tier-2,High school or below,Salaried-Govt,15k-30k,1,1,0,1,1,0,0,1,0,Never,Cycling/Walking,2,Not comfortable,1,0,1,1,0,0,0,Willing if anonymized,1,0,0,1,0,0,0,1,Up to 49/mo,Under 500,Up to 20% more,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,No-prefer solo,0,Care but not central,Loss motivated (lose coins),Actively track,Decide for household,0,1,0,0,0,1,0,0,1,307.0,31.0,0,0.0449,0.1311,0.101,0.0287
GL2024046,25-34,Female,Metro,Postgraduate,Salaried-Private,30k-60k,2,1,0,1,1,0,0,0,0,Rarely,Metro/Train,3,Somewhat comfortable,1,0,1,1,1,0,0,Fully willing,3,1,0,0,1,0,0,1,Up to 49/mo,Under 500,Up to 5% more,3,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,Maybe depends,3,Care but not central,Both equal,Check occasionally,Decide for household,1,1,0,0,0,0,0,0,1,257.0,22.0,0,0.5139,0.3886,0.3507,0.4833
